word,pos,ipa,meaning,image,definition
discrepancy,/n/,/dɪˈskrepənsi/,<div>sự khác nhau,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457283/anki_600/h9avxbsctzo3il54weld.jpg,"an unexpected difference, esp. in two amounts or two sets of facts or conditions, which suggests that something is wrong and has to be explained"
disturb,/v/,/dɪˈstɜːb/,<div>quấy rầy,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457284/anki_600/itdfe4r8rpx6ccklktgp.jpg,"to cause someone to stop what the person is doing, or to interrupt an activity;"
liability,/n/,/ˌlaɪəˈbɪlɪti/,<div>trách nhiệm,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457286/anki_600/lsliciuw52v2qexdehie.jpg,"the responsibility of a person, business, or organization to pay or give up something of value; something that hurts your chances of success or that causes difficulties"
reflection,/v/,/rɪˈflekt/,<div>(sự) phản chiếu,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457289/anki_600/qi7v4ovsojmfobvxgcyw.jpg,"an image seen in a mirror or other shiny surface; something that shows, expresses, or is a sign of something;"
run,/v/,/rʌn/,chạy,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457290/anki_600/chvg6zkkgmupu2fwirkd.jpg,to manage or operate something
scan,/n-v/,/skæn/,nhìn lướt,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457292/anki_600/t8tjmqoqrt80wnujto3s.jpg,to look over quickly; a quick look through something to check that it is good enough;
subtract,/v/,/səbˈtrækt/,trừ đi,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457293/anki_600/yxyas85mog6rtpfvwzkx.jpg,"to deduct, to take away;"
tedious,/adj/,/ˈtiːdɪəs/,chán ngắt,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457298/anki_600/b0ijh42jvaqsqmrc4wol.jpg,"boring and tiring, esp. because long or often repeated"
verify,/v/,/ˈverɪfaɪ/,kiểm tra,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457299/anki_600/d9trsespogwg6elz2nup.jpg,to make certain or prove that something is true or accurate;
accept,/v/,/əkˈsept/,đồng ý,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457300/anki_600/jaddyshwfwromuknwt8d.jpg,"to agree to take something, or to consider something as satisfactory, reasonable, or true"
balance,/n/,/ˈbæləns/,Số dư tài khoản; cân bằng/quyết toán tài khoản,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457301/anki_600/mcvc4u0vlzyirsayyuns.jpg,the amount of money you have in a bank account or an amount of money owed; the amount of something that you have left after you have spent or used up the rest; to compute the difference between credits and debits of an account;
borrow,/v/,/ˈbɒrəʊ/,vay,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457302/anki_600/myq9yucxlt6yy2gbd0vs.jpg,to take something from someone with the intention of giving it back after using it;
cautiously,/adv/,/ˈkɔːʃəsli/,thận trọng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457303/anki_600/zxy5dpg5txaxpk3ewg0z.jpg,In a way that deliberately avoids potential problems or dangers.
deduct,/v/,/dɪˈdʌkt/,khấu trừ,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457311/anki_600/ak2zdgzkr0rlqjij9sqb.jpg,"to take away an amount or part from a total, to subtract;"
dividend,/n/,/ˈdɪvɪdend/,Tiền lãi cổ phần,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457313/anki_600/ux6meh9wzzl3jnsf2ult.jpg,a payment by a company of a part of its profit to the people who own shares (= units of ownership) in the company;
down payment,/n/,/daʊn ˈpeɪmənt/,tiền đặt cọc; tiền trả trước một phần,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457314/anki_600/ts8j23xozovm4molt275.jpg,a payment of part of the total cost of something that you make when you buy it. The rest of the cost is usually paid over a period of time;
mortgage,/n/,/ˈmɔːɡɪdʒ/,cầm cố,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457320/anki_600/s74xr8ldlio9dozhlxpl.jpg,"an agreement that allows you to borrow money from a bank or similar organization by offering something of value, esp. in order to buy a house or apartment, or the amount of money itself"
restricted,/adj/,/rɪˈstrɪk.tɪd/,bị hạn chế,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457321/anki_600/rkghmpb3ubepnksybhjc.png,limited
signature,/n/,/ˈsɪɡnətʃə/,chữ ký,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457324/anki_600/t3ph0rxg3rn05zwmcb1y.jpg,"your name written in the particular way you write it, esp. on a printed document to show that you have written it yourself"
take out,/v/,/teɪk aʊt/,rút ra,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457343/anki_600/z2jqqf8oiusbozwmcz7x.png,"to withdraw, to remove"
transaction,/n/,/trænˈzækʃn̩/,sự giao dịch; hành động giao dịch;,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457344/anki_600/eznhluyoxluazuvmoayj.jpg,an occasion when someone buys or sells something
accounting,/n/,/əˈkaʊntɪŋ/,kế toán,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457346/anki_600/esjna3fcadsutqaiikia.jpg,"the job of keeping or examining the records of money received, paid, and owed by a company or person"
accumulate,/v/,/əˈkjuːmjəleɪt/,tích lũy,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457348/anki_600/sfrcsgyagefodifuie4d.jpg,"to collect or increase something gradually, esp. over a period of time;to gather, to collect;"
asset,/n/,/ˈæset/,tài sản,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457349/anki_600/y1z5kilqzr7yo7x79uqd.jpg,"something having value, such as a possession or property, that is owned by a person, business, or organization;"
audit,/v-n/,/ˈɔːdɪt/,kiểm toán,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457351/anki_600/c6ejjpamam58h46ltunv.jpg,to make an official examination of the accounts of a business and produce a report; an official examination of the accounts of a business;
budget,/n/,/ˈbʌdʒət/,ngân quỹ,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457353/anki_600/lu0tmlmjqlffd5e6plxo.jpg,a financial plan that lists expected expenses and income during a particular period; to plan to spend money for a particular purpose;
build up,/n/,/bɪld ʌp/,Sự tăng cường,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457357/anki_600/s1trwa6ianzyh3unwwiv.jpg,to increase over time
client,/n/,/ˈklaɪənt/,khách hàng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457358/anki_600/cy412d1ojrffckpy8glk.jpg,"a person who receives services, esp. from a lawyer or other person who gives advice"
debt,/n/,/det/,khoản nợ,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457360/anki_600/gsoltvy02mpekq0khfxa.jpg,"something owed, as in money or goods"
outstanding,/adj/,/ˌaʊtˈstændɪŋ/,còn tồn tại,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457361/anki_600/ipzriqlg4osy91r09try.png,"very much better than usual; excellent; not yet done, solved, or paid;"
profitably,/adv/,/ˈprɒfɪtəbli/,<div>có lợi,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457363/anki_600/uyg26tmxxqdpjkqrtote.jpg,in a way that will produce a profit; in a way that gives an advantage or useful result
reconcile,/v/,/ˈrekənsaɪl/,giải hoà,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457365/anki_600/hcv1llg3emx9k5l4omxx.jpg,"to compare different financial accounts, amounts, etc. in order to check that they add up to the same total or to explain any differences between them"
turnover,/n/,/ˈtɜːnəʊvə/,doanh số,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457369/anki_600/n6l3nxp9nfwfsnwq3c94.jpg,the amount of money that a company gets from sales during a particular period; the rate at which a store sells and replaces its stock; the rate at which employees leave a company and are replaced by new employees;
aggressive,/adv/,/əˈɡresɪvli/,xông xáo,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457374/anki_600/a9memg8itd9m8jvtzmgi.jpg,"using strong, forceful methods esp. to sell or persuade; behaving in an angry and violent way towards another person;"
attitude,/n/,/ˈætɪtjuːd/,thái độ,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457375/anki_600/qbqgcsi1ucs1p6rtcady.jpg,"the way you feel about something or someone, or a particular feeling or opinion;"
commit,/v/,/kəˈmɪt/&nbsp;,cam kết,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457376/anki_600/c1jxgsgv5s6oktyzlk6a.jpg,"to promise to give yourself, your money, your time, etc., to support something; to consign for future use, to promise;"
conservative,/adj/,/kənˈsɜːvətɪv/,bảo thủ,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457385/anki_600/plctserynnzkjbwhgvjb.jpg,"tending to emphasize the importance of preserving traditional cultural and religious values, and to oppose change, esp. sudden change;"
fund,/n-v/,/fʌnd/,(n) nguồn tiền,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457389/anki_600/lv56oxwt93fa1nperovb.jpg,"a sum of money saved and made available for a particular purpose; to provide the money to pay for an event, activity, or organization"
invest,/v/,/ɪnˈvest/,đầu tư,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457392/anki_600/nvk5trlfe8joqp4cxota.jpg,to put money or effort into something to make a profit or achieve a result;
long term,/adj/,/ˈlɒŋ tɜːm/,dài hạn,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457396/anki_600/h7dqrzdi2grgruidu7qk.jpg,"happening, existing, or continuing for many years or far into the future"
portfolio,/n/,/pɔːtˈfəʊlɪəʊ/,danh mục vốn đầu tư,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457398/anki_600/d9hee2ihpg9vugqwe3p0.png,a collection of investments that are owned by a particular person or organization
pull out,/v-n/,/pʊl aʊt/,(v) rút ra,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457399/anki_600/l1k5wmzzqtdeasbmkqr3.png,"to stop being involved in an activity;to withdraw, to stop participating; (n). a withdrawal, removal"
resource,/n/,/rɪˈzɔːs/,tài nguyên,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457401/anki_600/nq2utdcok6fu6qwg7g0c.jpg,something that can be used to help you; natural substances such as water and wood which are valuable in supporting life; things of value such as money or possessions that you can use when you need them;
return,/n/,/rɪˈtɜːn/,tiền thu về,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457402/anki_600/pe4ghqd4lg86wzf9vonx.jpg,the amount of money gained as profit
wise,/adj/,/waɪz/,khôn ngoan,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457408/anki_600/ewaw1vnuyg0l8epvndyf.jpg,"having or showing good judgment, or the ability to make good judgments, based on what you have learned from your experience;"
calculation,/n/,/ˈkælkjʊleɪt/,(sự/kết quả) tính,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457412/anki_600/ys97igffvl1aqcldgdfu.jpg,"the process of using information you already have and adding, taking away, multiplying, or dividing numbers to judge the number or amount of something; careful planning to control a situation for your own advantage in a way that is slightly unpleasant and causes people not to trust you;"
deadline,/n/,/ˈdedlaɪn/,hạn cuối,,a time by which something must be finished
file,/v/,/faɪl/,kê khai,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457417/anki_600/ipnet2ttx3zt3vq5lwun.jpg,"to make an official record of it, or to begin a legal process"
fill out,/v/,/fɪl aʊt/,điền vào (cho đầy đủ);,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457420/anki_600/mytgzq0brbf6kkr0j9dw.jpg,to write or type information in spaces of a form
give up,/v/,/ɡɪv ʌp/,ngừng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457421/anki_600/rjqb4jlcdiukkqja3xsj.jpg,"to stop trying to do something before you have finished, usually because it is too difficult;"
joint,/adj/,/dʒɔɪnt/,chung,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457428/anki_600/lry1aqygnwgjlqfnkfbk.jpg,belonging to or shared between two or more people
owe,/v/,/əʊ/,nợ,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457433/anki_600/b2spjrcbeaju7rr3tlln.jpg,to have the responsibility to pay or give back something you have received from someone; to be grateful to someone or something because of what the person or thing provided or made possible;
penalty,/n/,/ˈpenlti/,khoản tiền phạt,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457438/anki_600/z96ojcwzmpmjv9rs6x3f.jpg,a type of punishment for breaking an agreement or not following rules;
preparation,/v/,/prɪˈpeə/,(sự) chuẩn bị,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457441/anki_600/ncsnbg0qckj01bhcgb7b.jpg,the things that you do or the time that you spend for something;
refund,/n/,/rɪˈfʌnd/,(n,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457442/anki_600/rjepqekjxgwudgugwuod.jpg,"a sum of money that is paid back to you, especially because you paid too much or because you returned goods to a store"
spouse,/n/,/spaʊz/,vợ hoặc chồng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457443/anki_600/bczawhumwaxgtu81mmuf.jpg,a person’s husband or wife
withhold,/v/,/wɪðˈhəʊld/,<div>cố nín,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457448/anki_600/xgeml1nnigk6fd7wzkzn.jpg,"to refuse to give something, or to keep back something"
desire,/v/,/dɪˈzɑɪər/,thèm muốn,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457449/anki_600/d2n3nirxcswczzawsjsm.jpg,"a strong feeling of wanting something, or something you want"
detail,/v/,/ˈdiːteɪl/,kể chi tiết,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457452/anki_600/tz8rryjfxgphfsyeomgd.jpg,to give exact and complete information about something
forecast,/n-v/,/ˈfɔːkɑːst/,dự đoán,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457453/anki_600/m9yhlfzvul0x7yvk8juh.jpg,"a statement of what is likely to happen in the future; to judge what is likely to happen in the future, based on information you have now;"
level,/n/,/ˈlevl̩/,mức,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457454/anki_600/qidyiimh7dx8jyr0yyjz.jpg,"a particular position, degree, or amount of something, esp. compared with other possible positions, degrees, or amounts"
overall,/adj/,/ˌəʊvə'rɔːl/,toàn bộ,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457456/anki_600/lqub5zakysdfoe5gapuq.jpg,"in general rather than in particular, or including all the people or things in a particular group or situation;"
perspective,/n/,/pəˈspektɪv/,<div>luật xa gần,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457458/anki_600/wekzkgjzdocwto15w4og.jpg,a particular way of viewing things that depends on one’s experience and personality; the ability to consider things in relation to one another accurately and fairly;
project,/v/,/prə'dʒekt/ &nbsp;&nbsp;/'prɒdʒ.ekt/,ước lượng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457465/anki_600/nerfuppe1vs7hfyh7cuv.jpg,to estimate or predict. to calculate an amount or result expected in the future from information already known;
realistic,/adj/,/ˌrɪəˈlɪstɪk/,hiện thực,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457466/anki_600/jsxjpvij2dihijbs0fga.jpg,having or showing a practical awareness of things as they are. Realistic also means appearing to be existing or happening in fact;
target,/n-v/,/ˈtɑːɡɪt/,(v) đặt mục tiêu,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457467/anki_600/ljvcgvcim3yioyapb8ht.jpg,"a result or situation that you intend to achieve to direct an action, advertising, or a product at a particular person or group; to direct an attack or criticism against someone or something;"
translation,/n/,/trænsˈleɪʃn̩/,(n): bản dịch,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457468/anki_600/eunvysw53uq62qdysgie.jpg,the activity or process of changing the words of one language into the words in another language that have the same meaning
typical,/adj/,/ˈtɪpɪkl̩/,tiêu biểu,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457469/anki_600/c9k3jnjr5wmnhbjtbqiw.jpg,showing the characteristics of a particular kind of person or thing;
yield,/n-v/,/jiːld/,sản lượng; lợi tức,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457471/anki_600/xphszd2cltwwxfr5j9kt.jpg,a profit or an amount esp. of a crop produced; to produce a profit
adjacent,/adj/,/ə'dʒeɪsnt/,ngay cạnh,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457474/anki_600/cgxclu14ldzxa1vgzqtl.jpg,"very near, next to, or touching;"
collaboration,/n/,/kəˌlæbəˈreɪʃn̩/,&nbsp;sự cộng tác,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457477/anki_600/h9hezzgwssdyyqmurik0.jpg,the situation of two or more people working together to create or achieve the same thing
concentrate,/v/,/ˈkɒnsəntreɪt/,tập trung,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457480/anki_600/ad5aaobvby7ydivryekj.jpg,"to direct a lot of attention and thought to an activity or subject, or to direct effort toward achieving a result;"
conducive,/adj/,/kənˈdjuːsɪv/,có ích,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457482/anki_600/rp0bgkaynapig1mfmxk4.jpg,providing the right conditions for something to happen or exist;
disruption,/n/,/dɪsˈrʌpʃən/&nbsp;,‹sự› đập gãy,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457483/anki_600/shlif5gnogsakpjoobnq.jpg,"disturbance or problems that interrupt an event, activity, or process."
hamper,/v/,/ˈhæmpə/,làm vướng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457484/anki_600/vbveewtndp54hk0sgx3t.jpg,to prevent someone doing something easily;
inconsiderately,/adv/,/ˌɪnkənˈsɪdərətli/,thiếu thận trọng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457487/anki_600/rk7lpvzdwt5ivhlfsg06.png,not thinking or worrying about other people or their feelings;
lobby,/n-v/,/ˈlɒbi/,hành lang,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457489/anki_600/dwbruhzssxunn9xlften.jpg,"a large, open space just inside the main entrance of a public building such as a hotel, office building, or theater. to try to persuade an elected official to take a particular action or change a law"
move up,/v/,/muːv ʌp/,tăng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457491/anki_600/jho4hy6kgoxkfss5gm3w.jpg,"to increase in value, number, or amount. to get a more important job in a company or organization;"
open to,/adj/,/ˈəʊpən tuː/,tiếp thu,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457492/anki_600/e7gl7mdyhuu3wuwuc8wq.png,receptive to or welcoming of something that comes from outside of oneself. agreeable to hear or learn about new ideas and suggestions.
opt,/v/,/ɒpt/,chọn lựa,,"to make a choice, esp. for one thing or possibility in preference to any others."
scrutiny,/v/,<div>/'skruːtəni/</div>,sự nhìn chăm chú; xem xét/kiểm tra kỹ lưỡng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457493/anki_600/ahntdk7bpvrirxmgzwqg.jpg,to look at carefully and closely
adhere to,/v/,/ədˈhɪə tuː/,&nbsp;tuân thủ,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457495/anki_600/ooewpffcsnqmpmphq0ya.jpg,"to obey or closely follow a rule, a standard, an agreement..."
agenda,/n/,/əˈdʒendə/,chương trình nghị sự,,a list of matters to be discussed at a meeting.
bring up,/v/,/brɪŋ ʌp/,khơi mào,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457497/anki_600/ejl6vwq4s5xedob9iilu.jpg,to start to talk about a particular subject
conclude,/v/,/kənˈkluːd/,kết luận,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457500/anki_600/xbcuygqd4di37n3qzdtu.jpg,"to cause something to end, or to end; to agree on a business deal or official agreement;"
go ahead,/v/,/ɡəʊ əˈhed/,(v) tiến hành; (n) sự tiến bộ,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457502/anki_600/atx8nazvvxiwzycdk1co.jpg,"to begin or continue with a plan or activity without waiting, esp. after a delay; permission or notice that an activity may begin;"
goal,/n/,/ɡəʊl/,mục đích,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457507/anki_600/d1sfurypeqwohdusvj6p.jpg,"objective, purpose"
lengthy,/adj/,/ˈleŋθi/,lâu,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457508/anki_600/glfm9nussugeqxycovv6.gif,taking a long time;  continuing for a long time;
matter,/n/,/ˈmætə/,nội dung,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457510/anki_600/kyt3qvvfrzaahak0l2oo.jpg,a situation or subject that is being dealt with or considered; the reason for pain or worry;
periodically,/adv/,/ˌpɪərɪˈɒdɪkl̩i/,định kỳ,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457512/anki_600/iy80mjhliqgfq82vlky4.jpg,repeatedly at regular times;
priority,/n/,/praɪˈɒrɪti/,‹quyền/sự› ưu tiên,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457513/anki_600/uzxhznxgjvobe5z2colp.jpg,something that is considered more important than other matters;
progress,/n/,/prəˈɡres/ &nbsp;/ˈprɑɡ·rəs,‹sự› tiến tới,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457514/anki_600/dwrvspd7p4hj7dao7k3w.jpg,"movement toward an improved or more developed state, or to a forward position; something is happening or being done now;"
waste,/v-n/,/weɪst/,(v) lãng phí; (n) sự lãng phí; đồ bỏ đi,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457515/anki_600/idytadctrobfotkaoasl.jpg,"a bad use of something valuable that you have only a limited amount of; unwanted matter or material of any type, esp. what is left after use; to use too much of something or use something badly when there is a limited amount of it;"
brand,/n/,/brænd/,nhãn hiệu,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457517/anki_600/gk117u90o21b5hemszxb.jpg,a name of product made by a particular company; a type of product made by a particular company;
conform,/v/,/kənˈfɔrm/,làm cho phù hợp,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457517/anki_600/wv6p8u3kgne6f3sdgdgg.jpg,"to behave according to a group’s usual standards and expectations, or to operate according to a rule;"
defect,/n/,/dɪˈfekt/,khuyết điểm,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457518/anki_600/nmho1rl9p4a1tafiphcq.jpg,something that is lacking or that is not exactly right in someone or something
enhance,/v/,&nbsp;/ɪnˈhæns/,nâng cao,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457520/anki_600/y5ntjrzzabwaxgzpvt7d.jpg,"to improve the quality, amount, or strength of something"
garment,/n/,/ˈɡɑːmənt/,áo quần,,an article of clothing
inspect,/v/,/ɪnˈspekt/,thanh tra,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457521/anki_600/xdt0vfvhxye1s3s9xokh.jpg,"to look at something or someone carefully in order to discover information, esp. about quality or condition;"
perceptive,/v/,<div>/pə'septiv/</div>,nhận thức được,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457522/anki_600/glq3vwcunjvcfijcujwt.jpg,able to notice and understand things that many other people do not notice;
repel,/v/,/rɪˈpel/,chống lại,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457524/anki_600/xbfznggr0wicy9nkvbem.png,"to force away something unwanted, to  disgust;"
take back,/v/,/teɪk ˈbæk/,rút lui,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457525/anki_600/h8pq41x0gi1m6ajslueh.jpg,to return something that you have bought to a store; to admit that something you said was wrong;
throw out,/v/,/ˈθrəʊ aʊt/,vứt bỏ,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457526/anki_600/wurq1c8u8c5z48sxxsmw.jpg,to get rid of something that you do not want any more; to dispose of
uniformly,/adv/,/ˈjuːnɪfɔːmli/,đồng đều,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457527/anki_600/xkdfrdf68rhisoxpgb12.png,the same; not varying or different in any way;
wrinkle,/nv/,/ˈrɪŋkl̩/ &nbsp;&nbsp;/ˈrɪŋ·kəl/,vết nhăn,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457532/anki_600/tkhyuxy6mhsux0m5cfx4.jpg,"a small line in the skin, or a small fold in cloth;"
anxious,/adj/,/ˈæŋkʃəs/,lo âu,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457533/anki_600/ibbk1iqpr0sexx7vtouw.jpg,worried and nervous; eager to do something;
anxiety,/n/,/æŋˈzaɪəti/,mối lo âu,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457534/anki_600/d8pmuqfrg59wjdikccwn.jpg,an uncomfortable feeling of nervousness or worry about something that is happening or might happen in the future;
ascertain,/v/,/ˌæsəˈteɪn/,biết chắc,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457536/anki_600/bpkdttg6kluimfjhcrcy.jpg,to discover something; to make certain of something;
assume,/v/,/əˈsjuːm/,cho rằng,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457537/anki_600/odw88dgfk4lz00tnj0o4.jpg,"to accept something as true without question or proof; to pretend to be someone you are not, or to express a feeling falsely; become responsible for something;"
decade,/n/,/ˈdekeɪd/,thập kỷ,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457537/anki_600/sfky1xagzcg7uuqdfkc7.gif,a period of ten years
examine,/v/,/ɪɡˈzæmɪn/,khám xét,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457538/anki_600/v5q01sdzdfeolpxptuwg.png,to look at or consider a person or thing carefully in order to discover something about the person or thing;
experiment,/v-n/,/ɪkˈsperɪmənt/,&nbsp;(v) làm thí nghiệm; (n) cuộc thí nghiệm,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457540/anki_600/t99yu1cja0na6hetds6b.jpg,to test or to try a new way of doing something; a test done in order to learn something or to discover whether something works or is true;
logical,/adj/,/ˈlɒdʒɪkl̩/,hợp lý,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457541/anki_600/d5q9jofko0luysb8m7zg.jpg,"formally valid, using orderly reasoning"
research,/n/,/rɪˈsɜːtʃ/,sự nghiên cứu,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457543/anki_600/cobzred0j8gx2jniyz92.jpg,a detailed study of a subject in order to discover information or achieve a new understanding of it;
responsibility,/n/,/rɪˌspɒnsəˈbɪlɪti/,bổn phận,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457544/anki_600/zg0iwgrkm4nm8zqmw2rr.jpg,"a duty to take care of something; the cause of a particular action or situation, esp. a harmful or unpleasant one;"
solve,/v/,/sɒlv/,giải quyết,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457545/anki_600/pyikiijmx2kjdkbtecah.jpg,to find an answer to a problem;
supervisor,/n/,/ˈsuːpəvaɪzə/,người giám sát,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457549/anki_600/urfe8h2nud5i4mc9cjfe.jpg,a person whose job is to supervise someone or something;
systematically,/adv/,/ˌsɪstəˈmætɪk/,có hệ thống,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457551/anki_600/hmlgurwvk4uhgwbjy7nr.jpg,using an organized method that is often detailed; according to an agreed set of methods or organized plan
apprehensive,/adj/,/ˌæprɪˈhensɪv/,sợ hãi,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457551/anki_600/gzc6t8yb1scldre15klf.jpg,feeling anxious about the future; fearing that something unpleasant will happen;
circumstance,/n/,/ˈsɜːkəmstəns/,trường hợp,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457555/anki_600/hd81nan6kxghbiad0ltu.jpg,an event or condition connected with what is happening or has happened;
condition,/n/,/kənˈdɪʃn̩/,điều kiện; hoàn cảnh,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457556/anki_600/gv9svdnyefvmdhqsmr5i.png,"the particular state that something or someone is in, a state of not operating correctly; something that must exist before something else can happen;"
due to,/prep/,/djuː tuː/,bởi,https://res.cloudinary.com/dhy7y25sm/image/upload/v1753457557/anki_600/ejzob66cznjz59wrzzjz.gif,Because of
